station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Woodlawn Wind Farm - Tarago - NSW,NSW,-35.0614888,149.5765745,Unknown,,,,,
The Bluff Wind Farm - SA,SA,-37.7257364,140.571592,Unknown,,,,,
Oaklands Hill Wind Farm - VIC,VIC,-37.6836375,142.546547,Unknown,,,,,
Carnarvon - Massey Bay Road - Solar Farm - WA,WA,-24.9079445,113.6801937,Unknown,,,,,
Grasmere Wind Farm - WA,WA,-35.03869,117.74618,Unknown,,,,,
Karakin Wind Farm - WA,WA,-31.063674,115.4635696,Unknown,,,,,
Greenough River Solar Farm - WA,WA,-28.9039383,115.1115216,Unknown,,,,,
Flinders Island Wind Farm - TAS,TAS,-39.9967743,148.089437,Unknown,,,,,
Macarthur Wind Farm - VIC,VIC,-38.0449895,142.0433957,Unknown,,,,,
Mortons Lane Wind Farm - VIC,VIC,-38.3214968,146.0451059,Unknown,,,,,
Denmark Community Wind Farm - WA,WA,-34.9581665,117.3534196,Unknown,,,,,
Musselroe Wind Farm - TAS,TAS,-41.00074,148.07952,Unknown,,,,,
Thomson Hydro Power Station - VIC,VIC,-38.1698547,144.3789317,Unknown,,,,,
Mildura Solar Farm - VIC,VIC,-34.1849673,142.1622176,Unknown,,,,,
Snowtown Wind Farm Stage 2 - SA,SA,-33.7829422,138.2147186,Unknown,,,,,
Snowtown South Wind Farm - SA,SA,-33.7829422,138.2147186,Unknown,,,,,
Mt Mercer Wind Farm - VIC,VIC,-37.837287,143.8673473,Unknown,,,,,
Doomadgee Solar Farm - QLD,QLD,-17.7451694,138.7414196,Unknown,,,,,
Royalla Solar Farm - ACT,ACT,-35.5158611,149.1476501,Unknown,,,,,
Walla Walla Solar Farm - NSW,NSW,-35.7633155,146.9008022,Unknown,,,,,
Cape Sir William Grant Wind Farm - VIC,VIC,-38.4056485,141.6250925,Unknown,,,,,
Taralga Wind Farm - NSW,NSW,-34.3993392,149.8202383,Unknown,,,,,
Bald Hills Wind Farm - VIC,VIC,-37.447638,143.8381364,Unknown,,,,,
Nyngan Solar Plant - NSW,NSW,-31.5564839,147.0860758,Unknown,,,,,
Chepstowe Wind Farm - VIC,VIC,-37.596725,143.4853814,Unknown,,,,,
Weipa Solar Farm - QLD,QLD,-12.6388683,141.8631939,Unknown,,,,,
Broken Hill Solar Plant - NSW,NSW,-31.9882663,141.3932099,Unknown,,,,,
Desert Knowledge Australia Solar Centre - NT,NT,-23.7630102,133.8761504,Unknown,,,,,
Coonooer Bridge Wind Farm - VIC,VIC,-36.4653655,143.3089805,Unknown,,,,,
Hornsdale Wind Farm Stage 1 - SA,SA,-33.0398943,138.5254303,Unknown,,,,,
Bundaberg Christian College - QLD,QLD,-24.8684758,152.4057436,Unknown,,,,,
"Ararat Wind Farm, VIC",VIC,-37.2834165,142.9319447,Unknown,,,,,
Mount Majura Solar Farm - ACT,ACT,-35.237479,149.1820512,Unknown,,,,,
Sunshine Plaza,VIC,-37.7826358,144.832523,Unknown,,,,,
CEVA,VIC,-38.0879702,145.239969,Unknown,,,,,
Mugga Lane Solar Park - ACT,ACT,-35.3970191,149.1471191,Unknown,,,,,
Williamsdale Solar Farm ACT,ACT,-35.5692907,149.1410268,Unknown,,,,,
Hornsdale Wind Farm Stage 2 - SA,SA,-33.0398943,138.5254303,Unknown,,,,,
Barcaldine Solar Farm - QLD,QLD,-23.052892,145.8209434,Unknown,,,,,
White Rock Wind Farm - NSW,NSW,-33.4816667,149.6177778,Unknown,,,,,
Sunshine Coast Solar Farm - QLD,QLD,-26.8339243,152.9650657,Unknown,,,,,
REWASTE WOLLERT - VIC,VIC,-37.6110501,144.9761379,Unknown,,,,,
Kiata Wind Farm - VIC,VIC,-36.363836,141.7835527,Unknown,,,,,
Sapphire Wind Farm - NSW,NSW,-29.6774612,151.350582,Unknown,,,,,
